secteur_activite;horodate;plage_de_puissance_souscrite;region;nb_points_soutirage;date;temperature_2m_mean;relative_humidity_mean;precipitation_sum;total_energie_soutiree_wh
S2: Industrie;2024-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/07/2024;17.552084;73.403275;2.0;0.0
S2: Industrie;2024-01-01T01:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/01/2024;7.7916665;78.20975;2.9;0.0
S2: Industrie;2023-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/07/2023;19.589582;69.18794;2.8;0.0
S2: Industrie;2025-01-01T01:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/01/2025;6.4625;87.19861;0.1;0.0
S3: Tertiaire;2024-10-01T01:00:00Z;P6: > 2000 kVA;Auvergne-Rhône-Alpes;0;01/10/2024;15.958333;86.91442;12.4;0.0
S2: Industrie;2024-04-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/04/2024;9.64375;78.23828;4.4;0.0
S2: Industrie;2025-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/07/2025;31.80625;37.619495;0.0;0.0
S3: Tertiaire;2025-01-01T01:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/01/2025;6.4625;87.19861;0.1;
S3: Tertiaire;2025-04-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/04/2025;9.127084;63.41916;0.0;
S3: Tertiaire;2023-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/07/2023;19.589582;69.18794;2.8;435083.0
S3: Tertiaire;2025-10-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/10/2025;13.23125;78.26981;0.0;
S3: Tertiaire;2024-04-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/04/2024;9.64375;78.23828;4.4;2296500.0
S1: Agriculture;2024-10-01T01:00:00Z;P7: Total > 250 kVA;Auvergne-Rhône-Alpes;0;01/10/2024;15.958333;86.91442;12.4;0.0
S3: Tertiaire;2024-01-01T01:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/01/2024;7.7916665;78.20975;2.9;4051500.0
S3: Tertiaire;2024-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/07/2024;17.552084;73.403275;2.0;
S3: Tertiaire;2025-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/07/2025;31.80625;37.619495;0.0;
S3: Tertiaire;2023-10-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;18;01/10/2023;17.706251;79.44115;0.0;476083.0
S4: Non Affecté;2025-04-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/04/2025;9.127084;63.41916;0.0;0.0
S4: Non Affecté;2023-10-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/10/2023;17.706251;79.44115;0.0;0.0
S4: Non Affecté;2024-01-01T01:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/01/2024;7.7916665;78.20975;2.9;0.0
S4: Non Affecté;2025-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/07/2025;31.80625;37.619495;0.0;0.0
S4: Non Affecté;2024-04-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/04/2024;9.64375;78.23828;4.4;0.0
S4: Non Affecté;2023-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/07/2023;19.589582;69.18794;2.8;0.0
S4: Non Affecté;2025-01-01T01:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/01/2025;6.4625;87.19861;0.1;0.0
S2: Industrie;2024-10-01T01:00:00Z;P7: Total > 250 kVA;Auvergne-Rhône-Alpes;51;01/10/2024;15.958333;86.91442;12.4;308000.0
S4: Non Affecté;2025-10-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/10/2025;13.23125;78.26981;0.0;0.0
S4: Non Affecté;2024-07-01T00:00:00Z;P5: ]1000-2000] kVA;Île-de-France;0;01/07/2024;17.552084;73.403275;2.0;0.0
S1: Agriculture;2023-10-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/10/2023;17.706251;79.44115;0.0;0.0
S1: Agriculture;2025-04-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/04/2025;9.127084;63.41916;0.0;0.0
S1: Agriculture;2025-01-01T01:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/01/2025;6.4625;87.19861;0.1;0.0
S1: Agriculture;2024-01-01T01:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/01/2024;7.7916665;78.20975;2.9;0.0
S1: Agriculture;2025-07-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/07/2025;31.80625;37.619495;0.0;0.0
S1: Agriculture;2024-04-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/04/2024;9.64375;78.23828;4.4;0.0
S3: Tertiaire;2024-10-01T01:00:00Z;P7: Total > 250 kVA;Auvergne-Rhône-Alpes;534;01/10/2024;15.958333;86.91442;12.4;2818371.0
S1: Agriculture;2024-07-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/07/2024;17.552084;73.403275;2.0;0.0
S1: Agriculture;2023-07-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/07/2023;19.589582;69.18794;2.8;0.0
S1: Agriculture;2025-10-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/10/2025;13.23125;78.26981;0.0;0.0
S2: Industrie;2023-07-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/07/2023;19.589582;69.18794;2.8;0.0
S2: Industrie;2025-04-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/04/2025;9.127084;63.41916;0.0;0.0
S2: Industrie;2024-01-01T01:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/01/2024;7.7916665;78.20975;2.9;0.0
S2: Industrie;2025-07-01T00:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/07/2025;31.80625;37.619495;0.0;0.0
S2: Industrie;2025-01-01T01:00:00Z;P6: > 2000 kVA;Île-de-France;0;01/01/2025;6.4625;87.19861;0.1;0.0
